Unique Response Number,1. I agree with the above information.,2. Please select the appropriate age range.,2.a. Which subject area are you studying?,3. Have you used any Generative AI tools as part of your studies? (A generative AI tool will usually create new content from a prompt),4. Which of the following generative AI tools have you used?,"4.a. If you selected Other, please specify:",5. What devices do you use for Generative AI?,"5.a. If you selected Other, please specify:",6. What are your reasons for not using Generative AI tools in your studies?,"6.a. If you selected Other, please specify:",7. How helpful are AI tools in the following tasks?,7.1. Generating new content,7.2. Summarising content,7.3. Editing text,7.4. Revising grammar and sentence structure,7.5. Generating ideas,7.6. Research,7.7. Planning,7.8. Inspiration,7.9. Writing Communications,7.10. Summarising notes,7.11. As a discursive tool / collaborative partner,8. How do you feel about the advancements and availability of AI generative tools during your studies?,9. How much do you agree with these statements?,9.1. The use of AI in education may give an unfair advantage to those who use them.,9.2. AI tools should be available to ALL students to ensure equality.,9.3. Students trained in the use of AI tools will have more opportunities in the future.,9.4. Access to AI systems should be restricted at the University so that they do not undermine learning.,10. Are you aware of the university guidelines around the use of AI within your studies?,11. How important do you think it is that your tutors teach you how to use Generative AI tools?,11.1. Not at all important vs Very Important,12. How would you feel if academic staff used AI to mark and feedback on your assignments?,13. How would you feel if your tutors used Generative AI tools to create teaching content?,"14. If you have any other thoughts about the use of Generative AI, please write them below.",CompletionDate
1036763-1036745-110193343,Yes,45-54,Other / prefer not to say,Yes,"ChatGPT,DALL E",,Laptop,,,,,,,,,,,,,,,,Positive,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,,5,,,,2023-05-04
1036763-1036745-110200265,Yes,18-24,Business and Law,No,,,,,I don't feel the need to use AI tools.,,,,,,,,,,,,,,I prefer not to say,,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,,,4,I prefer human grading ,I don’t have an opinion,,2023-05-04
1036763-1036745-110200380,Yes,18-24,Business and Law,Yes,Other,Quill bot,"Laptop,Phone",,,,,Very Helpful,Very Helpful,Helpful,Neither helpful or unhelpful,Neither helpful or unhelpful,Unhelpful,Unhelpful,Unhelpful,Helpful,Very Helpful,Neither helpful or unhelpful,I have no strong feelings one way or the other,,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Yes,,3,,,,2023-05-04
1036763-1036745-110200649,Yes,18-24,Business and Law,No,,,,,I am concerned that using AI tools would be cheating,,,,,,,,,,,,,,Positive,,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,,,2,,,,2023-05-04
1036763-1036745-110203257,Yes,25-34,Arts,No,,,,,I am concerned that using AI tools would be cheating,,,,,,,,,,,,,,Negative,,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,No,,2,No thank you,"This is fine, however AI in the arts industry is a touchy subject ",,2023-05-04
1036763-1036745-110203234,Yes,18-24,Arts,No,,,,,I don't feel the need to use AI tools.,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Agree,Disagree,Neither agree nor disagree,Agree,No,,1,I would probably feel that the grade I receive from AI wouldn’t be a true representation of the grade I should get/deserve. As an art student grading work is all about individuality and AI as far as I know isn’t able to determine whether someone’s originality is good or bad. AI might also get it wrong. ,"As long as it was benefiting me and my studies, and was relevant and of high quality then I wouldn’t mind.","I don’t believe it should really be used, as it takes away the aspect of being human and doing the work yourself. I’m not very interested in using it or finding more about it as I am happy with where I am in my studies and I don’t feel the need to use technology to help/do my work for me. ",2023-05-04
1036763-1036745-110203307,Yes,18-24,Arts,Yes,ChatGPT,,Phone,,,,,Very Helpful,Very Helpful,Helpful,Helpful,Neither helpful or unhelpful,Helpful,Helpful,Helpful,I have not used any,I have not used any,I have not used any,I prefer not to say,,Agree,Strongly disagree,Disagree,Neither agree nor disagree,No,,1,I wouldn’t like it at all. I would feel cheated out of a grade. An AI cannot define my work accurately.,If it is helpful to the students I don’t think where it comes from is a problem l. Although it may lack personality and student specific teaching. ,,2023-05-04
1036763-1036745-110204784,Yes,18-24,Arts,No,,,,,Other,"AI tools, in my opinion, are not my own ideas. The AI creates work from other things it sees, but these can be copies of work or copyrighted styles from other artists. This is not original or helpful to an artist. The idea that I could use AI to help me pass my studies would make me feel that my work is not my own and me drawing is a waste of time. We need real artists doing artist jobs, not computers who copy work.",,,,,,,,,,,,,Negative,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,No,,1,"Not good at all. It would feel as if a computer is marking my work, which feels unfair and if it went wrong in some way, it would feel like it couldn't be sorted. Whilst with a human, it feels unbiased and based off of quality of work. How can a computer tell if work is of good quality if it only bases it on its realism? Or the quality of writing? What if someone is dyslexic?","Not good either. The content would not feel original, plus the teaching from the human teacher wouldn't be used. Therefore, rendering a teachers job useless.",,2023-05-04
1036763-1036745-110207646,Yes,25-34,Arts,No,,,,,I feel that using AI tools would limit my creativity,,,,,,,,,,,,,,Negative,,Strongly agree,Disagree,Neither agree nor disagree,Strongly agree,No,,1,I wouldn't agree with it,I wouldn't agree with it ,,2023-05-04
1036763-1036745-110208751,Yes,18-24,Arts,Yes,ChatGPT,,Laptop,,,,,I have not used any,Very Helpful,I have not used any,I have not used any,I have not used any,I have not used any,I have not used any,I have not used any,I have not used any,Helpful,I have not used any,I have no strong feelings one way or the other,,Agree,Agree,Agree,Neither agree nor disagree,Yes,,3,,,,2023-05-04
